nu1 nu2 nu3  J Ka Kc               E         unc transitions Gamma   Nb     Etrove  Obs-Calc
  1   0   0 10  6  4  4348.926797745 0.001539507           2    A'  142  4349.1877  0.260902
  5   0   0 15  5 10 16878.913345019 0.002068820           1    A' 4786 16878.6399  0.273445
  1   1   0 10  0 10  4874.911293534 0.001135785           3    A'  182  4874.6363  0.274994
  0   1   0 20  1 19  1469.081471484 0.000692834           5    A"   14  1468.8057  0.275771
  3   1   0 15  1 14 11615.674441048 0.008847052           2    A' 1597 11615.3958  0.278641
  3   1   0 15  4 12 11886.790944999 0.002049399           1    A' 1711 11887.0708  0.279855
  3   1   0 15  4 11 11886.789929390 0.002049412           1    A" 1895 11887.0708  0.280871
  1   0   0 20  5 15  4294.351392944 0.001627912           2    A"  120  4294.6331  0.281707
  3   1   0 15  1 15 11613.788293883 0.008414893           2    A" 1768 11613.5058  0.282494
  3   2   0 20  2 18 12894.699286748 0.002068823           2    A' 2340 12894.4077  0.291587
  0   0   1 20  3 18  1110.286116184 0.000692834          11    A'   11  1109.9945  0.291616
  0   0   1 20  3 17  1110.286315860 0.000692842          11    A"    9  1109.9946  0.291716
  1   1   0 15  1 14  4960.029166078 0.001204165           5    A'  173  4959.7342  0.294966
  2   0   0 10  1  9  7123.153820163 0.000690592           6    A"  398  7123.4561  0.302280
  5   0   0 10  4  6 16669.288714252 0.002029787           1    A' 4572 16668.9852  0.303514
  2   0   0 10  1 10  7122.391495486 0.000690586           5    A'  449  7122.6952  0.303705
  1   0   1 10  3  7  4558.008703966 0.001546097           7    A"  138  4557.6976  0.311104
  1   0   1 10  3  8  4558.008877536 0.001558975           7    A'  157  4557.6976  0.311278
  3   0   0 15  2 14 10511.649738675 0.003026563           7    A' 1210 10511.3372  0.312539
  3   0   0 15  4 11 10722.259760553 0.006016651           7    A" 1410 10721.9425  0.317261
  3   0   0 15  4 12 10722.259767094 0.006016645           7    A' 1272 10721.9425  0.317267
  1   0   1 15  2 13  4526.521859297 0.000881824           4    A"  161  4526.2044  0.317459
  1   0   1 15  2 14  4526.505504821 0.000858886           4    A'  142  4526.1880  0.317505
  2   0   0 15  5 11  7626.043611667 0.001337045           4    A"  568  7625.7188  0.324812
  2   0   0 15  5 10  7626.043668679 0.001337025           4    A'  509  7625.7188  0.324869
  3   1   0 10  1  9 11550.996321801 0.007654229           2    A" 1421 11551.3223  0.325978
  2   0   0 10  0 10  7104.384540201 0.000690586           3    A'  446  7104.7120  0.327460
  3   0   0 15  2 13 10511.666557318 0.003033152           8    A" 1343 10511.3371  0.329457
  0   0   1 15  5 10  1338.286205299 0.000600029          10    A'   12  1337.9487  0.337505
  0   0   1 15  5 11  1338.286211350 0.000600074           8    A"   14  1337.9487  0.337511
  3   1   0 15  0 15 11596.486056966 0.000670834           2    A" 1760 11596.1421  0.343957
  0   0   1 10  6  4  1490.864539653 0.000565737           5    A'   21  1490.5068  0.357740
  0   0   1 10  6  5  1490.864604136 0.000565744           4    A"   17  1490.5068  0.357804
  1   0   0 15  5 10  4205.191357156 0.002105583           3    A'  120  4205.5519  0.360543
  0   0   1 20  4 17  1249.003245877 0.000692890          10    A"   11  1248.6270  0.376246
  0   0   1 20  4 16  1249.003284322 0.000692852          11    A'   13  1248.6270  0.376284
  4   0   0 10  3  7 13633.633942872 0.002019910           9    A" 2277 13634.0193  0.385357
  4   0   0 10  3  8 13633.632967566 0.002019906           7    A' 2546 13634.0193  0.386332
  1   0   1 20  0 20  4538.483702523 0.000926102           5    A'  151  4538.0951  0.388603
  1   0   1 20  1 20  4556.247034266 0.000926077           7    A'  155  4555.8357  0.411334
  1   2   0 20  4 17  6549.988462274 0.006823496           1    A"  336  6550.4019  0.413438
  1   2   0 20  4 16  6549.988436902 0.006823492           1    A'  376  6550.4019  0.413463
  4   0   0 15  2 14 13613.709744258 0.002748281           4    A' 2520 13613.2949  0.414844
  1   0   0 20  4 16  4123.449966229 0.001966485           3    A'  123  4123.8668  0.416834
  1   0   0 10  5  5  4140.760974384 0.002381837           3    A"  114  4141.1798  0.418826
  1   0   1 20  1 19  4559.053872552 0.000926078           5    A"  137  4558.6326  0.421273
  5   0   0 10  5  5 16814.760417199 0.002029793           1    A" 4204 16815.1818  0.421383
  3   0   0 20  5 15 10968.490763777 0.006026616           5    A" 1329 10968.0669  0.423864
  5   0   0 15  4 11 16733.405340838 0.002059131           1    A" 5140 16732.9800  0.425341
  5   0   0 10  5  6 16814.754876867 0.002029795           1    A' 4693 16815.1854  0.430523
  0   1   0 10  5  5  1807.788483381 0.000565716           4    A"   25  1807.3500  0.438483
  1   0   1 15  3 12  4621.927697811 0.001584429           5    A'  148  4621.4892  0.438498
  0   1   0 10  5  6  1807.788499038 0.001058321           3    A'   29  1807.3500  0.438499
  1   0   1 15  3 13  4621.927932570 0.001584452           5    A"  167  4621.4891  0.438833
  2   0   0 20  5 16  7715.086051916 0.001381175           6    A'  568  7714.6456  0.440452
  2   0   0 20  5 15  7715.086073090 0.001381194           6    A"  509  7714.6456  0.440473
  1   1   0 15  0 15  4939.258230478 0.001170477           4    A"  193  4938.8122  0.446030
  4   0   0 10  1  9 13499.166395858 0.002019905           5    A" 2208 13498.7151  0.451296
  3   1   0 20  4 16 11975.503926902 0.002078472           1    A' 1896 11975.9570  0.453073
  0   2   0 20  5 16  3203.398815905 0.001166381           6    A'   72  3203.8551  0.456284
  0   2   0 20  5 15  3203.398866018 0.001166403           6    A"   63  3203.8553  0.456434
  0   0   1 15  6  9  1554.742746460 0.000632483           5    A"   21  1554.2819  0.460846
  0   0   1 15  6 10  1554.742751721 0.000600029           5    A'   17  1554.2819  0.460852
  1   0   1 10  4  7  4691.289827676 0.001546103           4    A"  147  4690.8154  0.474428
  1   0   1 10  4  6  4691.289859084 0.001546098           4    A'  167  4690.8154  0.474459
  2   0   0 10  6  5  7761.444157058 0.001321981           3    A"  495  7760.9659  0.478257
  2   0   0 10  6  4  7761.444193537 0.001306784           3    A'  557  7760.9659  0.478294
  0   0   1 20  5 16  1426.762586776 0.000692891           8    A'   14  1426.2815  0.481087
  0   0   1 20  5 15  1426.762624093 0.000721122           9    A"   12  1426.2815  0.481124
  5   0   0 15  3 12 16618.850142969 0.002059130           1    A' 4566 16618.3643  0.485843
  3   0   0 20  5 16 10968.490755135 0.006026611           5    A' 1474 10968.9828  0.492045
  1   0   1 20  2 18  4615.036757081 0.000926077           6    A'  161  4614.5423  0.494457
  1   0   1 20  2 19  4614.986720429 0.000926101           6    A"  142  4614.4920  0.494720
  0   0   1 10  7  3  1745.522154314 0.000600049           3    A"   23  1745.0254  0.496754
  0   0   1 10  7  4  1745.522206842 0.000600055           3    A'   27  1745.0254  0.496807
